Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,9,D01,M,00:11:57.28,0.203,D3
1,9,D02,M,00:11:58.17,0.199,D3
1,9,D03,M,00:11:59.06,0.198,D3
1,9,D04,M,00:11:59.94,0.213,A3
1,9,D05,M,00:12:00.83,0.211,A3
1,9,D06,M,00:12:01.72,0.215,A3
1,10,A01,M,00:12:40.38,0.077,GSH 0
1,10,A02,M,00:12:41.28,0.206,GSH 8
1,10,A03,M,00:12:42.17,0.354,GSH 16
1,10,A04,M,00:12:43.05,0.563,GSH 24
1,10,A05,M,00:12:43.94,0.788,GSH 32
1,10,A06,M,00:12:44.83,1.036,GSH 40
1,10,A07,M,00:12:45.72,0.237,PC 2
1,10,A08,M,00:12:46.61,0.111,PC 10
1,10,A09,M,00:12:47.50,0.229,PC 20
1,10,A10,M,00:12:48.39,0.288,A1
1,10,A11,M,00:12:49.28,0.279,A1
1,10,A12,M,00:12:50.17,0.294,A1
1,10,B01,M,00:12:53.50,0.277,A2
1,10,B02,M,00:12:54.39,0.293,A2
1,10,B03,M,00:12:55.28,0.297,A2
1,10,B04,M,00:12:56.17,0.233,B1
1,10,B05,M,00:12:57.05,0.220,B1
1,10,B06,M,00:12:57.94,0.223,B1
1,10,B07,M,00:12:58.83,0.271,B2
1,10,B08,M,00:12:59.72,0.233,B2
1,10,B09,M,00:13:00.61,0.228,B2
1,10,B10,M,00:13:01.50,0.203,B3
1,10,B11,M,00:13:02.39,0.241,B3
1,10,B12,M,00:13:03.28,0.177,B3
1,10,C01,M,00:13:06.61,0.183,B4
1,10,C02,M,00:13:07.50,0.276,B4
1,10,C03,M,00:13:08.39,0.180,B4
1,10,C04,M,00:13:09.28,0.157,C1
1,10,C05,M,00:13:10.16,0.139,C1
1,10,C06,M,00:13:11.05,0.137,C1
1,10,C07,M,00:13:11.94,0.154,C2
1,10,C08,M,00:13:12.83,0.142,C2
1,10,C09,M,00:13:13.72,0.141,C2
1,10,C10,M,00:13:14.61,0.233,D2
1,10,C11,M,00:13:15.50,0.233,D2
1,10,C12,M,00:13:16.39,0.236,D2
