Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,6,D04,M,00:23:55.01,0.214,
1,6,D05,M,00:23:55.90,0.177,
1,6,D06,M,00:23:56.79,0.188,
1,6,D07,M,00:23:57.68,0.147,
1,6,D08,M,00:23:58.57,0.160,
1,6,D09,M,00:23:59.46,0.149,
1,6,D10,M,00:24:00.35,0.185,
1,6,D11,M,00:24:01.23,0.194,
1,6,D12,M,00:24:02.12,0.182,
1,6,E01,M,00:24:05.46,0.381,
1,6,E02,M,00:24:06.34,0.344,
1,6,E03,M,00:24:07.23,0.344,
1,6,E04,M,00:24:08.12,0.128,
1,6,E05,M,00:24:09.01,0.146,
1,6,E06,M,00:24:09.90,0.140,
1,6,E07,M,00:24:10.79,0.221,
1,6,E08,M,00:24:11.68,0.207,
1,6,E09,M,00:24:12.57,0.212,
1,6,E10,M,00:24:13.46,0.255,
1,6,E11,M,00:24:14.35,0.251,
1,6,E12,M,00:24:15.23,0.240,
1,6,F01,M,00:24:18.57,0.177,
1,6,F02,M,00:24:19.46,0.161,
1,6,F03,M,00:24:20.34,0.161,
1,6,F04,M,00:24:21.23,0.458,
1,6,F05,M,00:24:22.12,0.456,
1,6,F06,M,00:24:23.01,0.428,
1,6,F07,M,00:24:23.90,0.199,
1,6,F08,M,00:24:24.79,0.160,
1,6,F09,M,00:24:25.68,0.171,
1,6,F10,M,00:24:26.57,0.716,
1,6,F11,M,00:24:27.46,0.827,
1,6,F12,M,00:24:28.34,0.671,
1,6,G01,M,00:24:31.68,0.234,
1,6,G02,M,00:24:32.57,0.218,
1,6,G03,M,00:24:33.46,0.217,
1,6,G04,M,00:24:34.34,0.088,
1,6,G05,M,00:24:35.23,0.089,
1,6,G06,M,00:24:36.12,0.089,
1,6,G07,M,00:24:37.01,0.114,
1,6,G08,M,00:24:37.90,0.096,
1,6,G09,M,00:24:38.79,0.180,
1,7,A01,M,00:27:47.94,0.074,
1,7,A02,M,00:27:48.84,0.076,
1,7,A03,M,00:27:49.73,0.083,
1,7,A04,M,00:27:50.62,0.103,
1,7,A05,M,00:27:51.51,0.160,
1,7,A06,M,00:27:52.40,0.236,
1,7,A07,M,00:27:53.29,0.162,
1,7,A08,M,00:27:54.17,0.172,
1,7,A09,M,00:27:55.06,0.157,
1,7,A10,M,00:27:55.95,0.173,
1,7,A11,M,00:27:56.84,0.180,
1,7,A12,M,00:27:57.73,0.175,
1,7,B01,M,00:28:01.06,0.173,
1,7,B02,M,00:28:01.95,0.188,
1,7,B03,M,00:28:02.84,0.174,
1,7,B04,M,00:28:03.73,0.165,
1,7,B05,M,00:28:04.62,0.181,
1,7,B06,M,00:28:05.51,0.165,
1,7,B07,M,00:28:06.40,0.161,
1,7,B08,M,00:28:07.29,0.179,
1,7,B09,M,00:28:08.17,0.092,
1,7,B10,M,00:28:09.06,0.231,
1,7,B11,M,00:28:09.95,0.207,
1,7,B12,M,00:28:10.84,0.209,
1,7,C01,M,00:28:14.17,0.228,
1,7,C02,M,00:28:15.06,0.224,
1,7,C03,M,00:28:15.95,0.226,
1,7,C04,M,00:28:16.84,0.423,
1,7,C05,M,00:28:17.73,0.403,
1,7,C06,M,00:28:18.62,0.430,
1,7,C07,M,00:28:19.51,0.163,
1,7,C08,M,00:28:20.40,0.153,
1,7,C09,M,00:28:21.29,0.169,
1,7,C10,M,00:28:22.17,0.231,
1,7,C11,M,00:28:23.06,0.235,
1,7,C12,M,00:28:23.95,0.236,
1,7,D01,M,00:28:27.29,0.301,
1,7,D02,M,00:28:28.17,0.331,
1,7,D03,M,00:28:29.06,0.297,
1,7,D04,M,00:28:29.95,0.216,
1,7,D05,M,00:28:30.84,0.178,
1,7,D06,M,00:28:31.73,0.188,
1,7,D07,M,00:28:32.62,0.145,
1,7,D08,M,00:28:33.51,0.162,
1,7,D09,M,00:28:34.40,0.153,
1,7,D10,M,00:28:35.29,0.184,
