time,month,day,hour,trt,combo,temp,sal,pH,talk,CO3,HCO3,pCO2,Oca,Oar,response
150,6,29,15,T4,T4_6_29,30.58333333,30.66666667,8.179359233,2108.803333,215.8268263,1579.664694,360.1943037,3.622485952,3.622485952,1.613100436
151,6,29,16,T1,T1_6_29,18.03333333,26.55,8.012659471,1936.87075,98.89132863,1693.186023,484.9250234,1.574312329,1.574312329,-1.2238511
151,6,29,16,T2,T2_6_29,30.66666667,29.56666667,7.95531373,2062.861833,137.8913637,1725.971832,660.9001831,2.329339945,2.329339945,0.543225154
151,6,29,16,T3,T3_6_29,18.05,27.58333333,7.982921921,1980.027917,97.29398057,1740.057728,531.9131626,1.545296484,1.545296484,-0.569351465
151,6,29,16,T4,T4_6_29,30.41666667,30.56666667,8.190057821,2104.626833,218.2908949,1569.371974,348.402249,3.661926647,3.661926647,1.489542624
152,6,29,17,T1,T1_6_29,18.18333333,26.5,8.013093348,1934.7825,99.18359518,1690.432549,484.6594345,1.580182935,1.580182935,-1.265555493
152,6,29,17,T2,T2_6_29,30.7,29.36666667,7.958283251,2054.508833,137.7331883,1718.038437,653.7782285,2.329578436,2.329578436,0.438347423
152,6,29,17,T3,T3_6_29,18.15,27.53333333,7.979855245,1977.939667,96.76048937,1739.321961,536.2058135,1.537672952,1.537672952,-0.588342356
152,6,29,17,T4,T4_6_29,30.45,30.41666667,8.209833587,2098.362083,224.7295619,1547.194345,328.3949016,3.77376043,3.77376043,1.308345047
153,6,29,18,T1,T1_6_29,18.26666667,26.5,8.0083853,1934.7825,98.47752452,1692.193694,490.9295992,1.5695288,1.5695288,-1.265555493
153,6,29,18,T2,T2_6_29,30.76666667,29.23333333,7.958229987,2048.940167,137.2352576,1713.721693,652.9232016,2.323766764,2.323766764,0.383902896
153,6,29,18,T3,T3_6_29,18.41666667,27.55,7.987504843,1978.63575,99.08194758,1734.370184,527.1660343,1.576309691,1.576309691,-0.583653019
153,6,29,18,T4,T4_6_29,30.56666667,30.31666667,8.208427814,2094.185583,223.9646627,1544.943289,329.5717202,3.766026866,3.766026866,1.190567213
154,6,29,19,T1,T1_6_29,18.26666667,26.48333333,8.010021289,1934.086417,98.73479019,1690.868414,488.7702794,1.573675819,1.573675819,-1.285151077
154,6,29,19,T2,T2_6_29,30.83333333,29.2,7.960097484,2047.548,137.7722248,1711.02793,649.7336239,2.33431002,2.33431002,0.361324149
154,6,29,19,T3,T3_6_29,18.18333333,27.41666667,7.981427508,1973.067083,96.69607274,1734.640388,533.2958498,1.537304648,1.537304648,-0.649250507
154,6,29,19,T4,T4_6_29,30.5,30.36666667,8.209928879,2096.273833,224.6137577,1545.405559,328.1469939,3.774240776,3.774240776,1.241297688
155,6,29,20,T1,T1_6_29,18.5,26.18333333,8.011956917,1921.556917,98.50890357,1679.033586,485.1203324,1.572750071,1.572750071,-1.588448871
155,6,29,20,T2,T2_6_29,30.78333333,29.26666667,7.958386315,2050.332333,137.5121103,1714.432673,653.1482616,2.328306217,2.328306217,0.397828914
155,6,29,20,T3,T3_6_29,18.5,27.35,7.98576704,1970.28275,98.14558526,1728.387527,528.3336651,1.562763257,1.562763257,-0.672507756
